match_id,date_match,status,season_id,season_winner,home_team_id,home_team,away_team_id,away_team,winner,home_goals,away_goals
445409,2023-08-11T19:15:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,5531,FC Famalicão,FC Famalicão,1,2
445407,2023-08-12T14:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,5601,Portimonense SC,Gil Vicente FC,5,0
445408,2023-08-12T17:00:00Z,FINISHED,1603,,5602,SC Farense,6618,Casa Pia AC,Casa Pia AC,0,3
445410,2023-08-12T19:30:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,5589,FC Vizela,Sporting Clube de Portugal,3,2
445406,2023-08-13T14:30:00Z,FINISHED,1603,,496,Rio Ave FC,1103,GD Chaves,Rio Ave FC,2,0
445403,2023-08-13T17:00:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,5543,Vitória SC,Vitória SC,0,1
445404,2023-08-13T19:30:00Z,FINISHED,1603,,712,FC Arouca,582,GD Estoril Praia,FC Arouca,4,3
445405,2023-08-14T17:45:00Z,FINISHED,1603,,583,Moreirense FC,503,FC Porto,FC Porto,1,2
445402,2023-08-14T19:45:00Z,FINISHED,1603,,810,Boavista FC,1903,Sport Lisboa e Benfica,Boavista FC,3,2
445412,2023-08-18T19:15:00Z,FINISHED,1603,,6618,Casa Pia AC,498,Sporting Clube de Portugal,Sporting Clube de Portugal,1,2
445419,2023-08-19T14:30:00Z,FINISHED,1603,,5543,Vitória SC,5533,Gil Vicente FC,Vitória SC,2,1
445416,2023-08-19T17:00:00Z,FINISHED,1603,,1103,GD Chaves,5613,Sporting Clube de Braga,Sporting Clube de Braga,2,4
445411,2023-08-19T19:30:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,9136,CF Estrela da Amadora,Sport Lisboa e Benfica,2,0
445418,2023-08-19T19:30:00Z,FINISHED,1603,,5601,Portimonense SC,810,Boavista FC,Boavista FC,1,4
445417,2023-08-20T14:30:00Z,FINISHED,1603,,582,GD Estoril Praia,496,Rio Ave FC,GD Estoril Praia,2,0
445414,2023-08-20T17:00:00Z,FINISHED,1603,,503,FC Porto,5602,SC Farense,FC Porto,2,1
445415,2023-08-20T19:30:00Z,FINISHED,1603,,5589,FC Vizela,712,FC Arouca,Draw,2,2
445413,2023-08-21T19:15:00Z,FINISHED,1603,,5531,FC Famalicão,583,Moreirense FC,Draw,0,0
445421,2023-08-25T19:15:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,582,GD Estoril Praia,CF Estrela da Amadora,2,1
445422,2023-08-26T14:30:00Z,FINISHED,1603,,712,FC Arouca,5601,Portimonense SC,Draw,1,1
445426,2023-08-26T17:00:00Z,FINISHED,1603,,5602,SC Farense,1103,GD Chaves,SC Farense,5,0
445425,2023-08-26T19:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,2,3
445420,2023-08-27T14:30:00Z,FINISHED,1603,,810,Boavista FC,6618,Casa Pia AC,Draw,1,1
445428,2023-08-27T17:00:00Z,FINISHED,1603,,5543,Vitória SC,5589,FC Vizela,Vitória SC,2,0
445427,2023-08-27T19:30:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,5531,FC Famalicão,Sporting Clube de Portugal,1,0
445424,2023-08-28T19:15:00Z,FINISHED,1603,,496,Rio Ave FC,503,FC Porto,FC Porto,1,2
445433,2023-09-01T19:15:00Z,FINISHED,1603,,5589,FC Vizela,5533,Gil Vicente FC,FC Vizela,1,0
445430,2023-09-02T14:30:00Z,FINISHED,1603,,6618,Casa Pia AC,496,Rio Ave FC,Draw,1,1
445431,2023-09-02T17:00:00Z,FINISHED,1603,,5531,FC Famalicão,5602,SC Farense,FC Famalicão,1,0
445436,2023-09-02T17:00:00Z,FINISHED,1603,,5601,Portimonense SC,9136,CF Estrela da Amadora,Draw,1,1
445429,2023-09-02T19:30:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,5543,Vitória SC,Sport Lisboa e Benfica,4,0
445434,2023-09-03T14:30:00Z,FINISHED,1603,,1103,GD Chaves,583,Moreirense FC,Moreirense FC,1,2
445435,2023-09-03T14:30:00Z,FINISHED,1603,,582,GD Estoril Praia,810,Boavista FC,Boavista FC,1,2
445432,2023-09-03T17:00:00Z,FINISHED,1603,,503,FC Porto,712,FC Arouca,Draw,1,1
445437,2023-09-03T19:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,498,Sporting Clube de Portugal,Draw,1,1
445423,2023-09-09T17:00:00Z,FINISHED,1603,,583,Moreirense FC,5613,Sporting Clube de Braga,Sporting Clube de Braga,2,3
445439,2023-09-15T18:15:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,503,FC Porto,FC Porto,0,1
445441,2023-09-16T14:30:00Z,FINISHED,1603,,496,Rio Ave FC,5531,FC Famalicão,Draw,1,1
445444,2023-09-16T17:00:00Z,FINISHED,1603,,5602,SC Farense,5613,Sporting Clube de Braga,SC Farense,3,1
445442,2023-09-16T19:30:00Z,FINISHED,1603,,5589,FC Vizela,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,1,2
445440,2023-09-17T14:30:00Z,FINISHED,1603,,712,FC Arouca,6618,Casa Pia AC,Casa Pia AC,0,1
445443,2023-09-17T14:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,582,GD Estoril Praia,Gil Vicente FC,5,3
445446,2023-09-17T17:00:00Z,FINISHED,1603,,5543,Vitória SC,5601,Portimonense SC,Portimonense SC,1,2
445445,2023-09-17T19:30:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,583,Moreirense FC,Sporting Clube de Portugal,3,0
445438,2023-09-18T19:15:00Z,FINISHED,1603,,810,Boavista FC,1103,GD Chaves,Boavista FC,4,1
445448,2023-09-22T19:15:00Z,FINISHED,1603,,5531,FC Famalicão,712,FC Arouca,FC Famalicão,1,0
445449,2023-09-23T14:30:00Z,FINISHED,1603,,583,Moreirense FC,5602,SC Farense,Moreirense FC,1,0
445452,2023-09-23T14:30:00Z,FINISHED,1603,,582,GD Estoril Praia,5589,FC Vizela,Draw,2,2
445447,2023-09-23T17:00:00Z,FINISHED,1603,,6618,Casa Pia AC,5543,Vitória SC,Draw,0,0
445450,2023-09-23T19:30:00Z,FINISHED,1603,,503,FC Porto,5533,Gil Vicente FC,FC Porto,2,1
445451,2023-09-24T14:30:00Z,FINISHED,1603,,1103,GD Chaves,9136,CF Estrela da Amadora,Draw,2,2
445453,2023-09-24T17:00:00Z,FINISHED,1603,,5601,Portimonense SC,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,1,3
445454,2023-09-24T19:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,810,Boavista FC,Sporting Clube de Braga,4,1
445455,2023-09-25T19:15:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,496,Rio Ave FC,Sporting Clube de Portugal,2,0
445458,2023-09-28T19:15:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,5613,Sporting Clube de Braga,Sporting Clube de Braga,2,4
445456,2023-09-29T19:15:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,503,FC Porto,Sport Lisboa e Benfica,1,0
445461,2023-09-30T14:30:00Z,FINISHED,1603,,5589,FC Vizela,5601,Portimonense SC,Portimonense SC,2,3
445457,2023-09-30T17:00:00Z,FINISHED,1603,,810,Boavista FC,5531,FC Famalicão,Draw,2,2
445463,2023-09-30T19:30:00Z,FINISHED,1603,,5602,SC Farense,498,Sporting Clube de Portugal,Sporting Clube de Portugal,2,3
