season_id,season_start_date,season_end_date,season_winner,position,team_id,team_name,points,games_played,won,draw,lost,goals_scored,goals_suffered,goal_difference
1603,2023-08-13,2024-05-19,,1,498,Sporting Clube de Portugal,90,34,29,3,2,96,29,67
1603,2023-08-13,2024-05-19,,2,1903,Sport Lisboa e Benfica,80,34,25,5,4,77,28,49
1603,2023-08-13,2024-05-19,,3,503,FC Porto,72,34,22,6,6,63,27,36
1603,2023-08-13,2024-05-19,,4,5613,Sporting Clube de Braga,68,34,21,5,8,71,50,21
1603,2023-08-13,2024-05-19,,5,5543,Vitória SC,63,34,19,6,9,52,38,14
1603,2023-08-13,2024-05-19,,6,583,Moreirense FC,55,34,16,7,11,36,35,1
1603,2023-08-13,2024-05-19,,7,712,FC Arouca,46,34,13,7,14,54,50,4
1603,2023-08-13,2024-05-19,,8,5531,FC Famalicão,42,34,10,12,12,37,41,-4
1603,2023-08-13,2024-05-19,,9,6618,Casa Pia AC,38,34,10,8,16,38,50,-12
1603,2023-08-13,2024-05-19,,10,5602,SC Farense,37,34,10,7,17,46,51,-5
1603,2023-08-13,2024-05-19,,11,496,Rio Ave FC,37,34,6,19,9,38,43,-5
1603,2023-08-13,2024-05-19,,12,5533,Gil Vicente FC,36,34,9,9,16,42,52,-10
1603,2023-08-13,2024-05-19,,13,582,GD Estoril Praia,33,34,9,6,19,49,58,-9
1603,2023-08-13,2024-05-19,,14,9136,CF Estrela da Amadora,33,34,7,12,15,33,53,-20
1603,2023-08-13,2024-05-19,,15,810,Boavista FC,32,34,7,11,16,39,62,-23
1603,2023-08-13,2024-05-19,,16,5601,Portimonense SC,32,34,8,8,18,39,72,-33
1603,2023-08-13,2024-05-19,,17,5589,FC Vizela,26,34,5,11,18,36,66,-30
1603,2023-08-13,2024-05-19,,18,1103,GD Chaves,23,34,5,8,21,31,72,-41
2312,2024-08-11,2025-05-17,,1,498,Sporting Clube de Portugal,82,34,25,7,2,88,27,61
2312,2024-08-11,2025-05-17,,2,1903,Sport Lisboa e Benfica,80,34,25,5,4,84,28,56
2312,2024-08-11,2025-05-17,,3,503,FC Porto,71,34,22,5,7,65,30,35
2312,2024-08-11,2025-05-17,,4,5613,Sporting Clube de Braga,66,34,19,9,6,55,30,25
2312,2024-08-11,2025-05-17,,5,5530,CD Santa Clara,57,34,17,6,11,36,32,4
2312,2024-08-11,2025-05-17,,6,5543,Vitória SC,54,34,14,12,8,47,37,10
2312,2024-08-11,2025-05-17,,7,5531,FC Famalicão,47,34,12,11,11,44,39,5
2312,2024-08-11,2025-05-17,,8,582,GD Estoril Praia,46,34,12,10,12,48,53,-5
2312,2024-08-11,2025-05-17,,9,6618,Casa Pia AC,45,34,12,9,13,39,44,-5
2312,2024-08-11,2025-05-17,,10,583,Moreirense FC,40,34,10,10,14,42,50,-8
2312,2024-08-11,2025-05-17,,11,712,FC Arouca,38,34,9,11,14,35,49,-14
2312,2024-08-11,2025-05-17,,12,496,Rio Ave FC,38,34,9,11,14,39,55,-16
2312,2024-08-11,2025-05-17,,13,5533,Gil Vicente FC,34,34,8,10,16,34,47,-13
2312,2024-08-11,2025-05-17,,14,5529,CD Nacional,34,34,9,7,18,32,50,-18
2312,2024-08-11,2025-05-17,,15,9136,CF Estrela da Amadora,29,34,7,8,19,24,50,-26
2312,2024-08-11,2025-05-17,,16,5602,SC Farense,27,34,6,9,19,25,46,-21
2312,2024-08-11,2025-05-17,,17,10340,AVS,27,34,5,12,17,25,60,-35
2312,2024-08-11,2025-05-17,,18,810,Boavista FC,24,34,6,6,22,24,59,-35
2433,2025-08-08,2026-05-17,,1,503,FC Porto,88,34,28,4,2,66,18,48
2433,2025-08-08,2026-05-17,,2,498,Sporting Clube de Portugal,82,34,25,7,2,89,24,65
2433,2025-08-08,2026-05-17,,3,1903,Sport Lisboa e Benfica,80,34,23,11,0,74,25,49
2433,2025-08-08,2026-05-17,,4,5613,Sporting Clube de Braga,59,34,16,11,7,64,36,28
2433,2025-08-08,2026-05-17,,5,5531,FC Famalicão,56,34,15,11,8,42,29,13
2433,2025-08-08,2026-05-17,,6,5533,Gil Vicente FC,50,34,13,11,10,47,38,9
2433,2025-08-08,2026-05-17,,7,583,Moreirense FC,43,34,12,7,15,37,49,-12
2433,2025-08-08,2026-05-17,,8,5543,Vitória SC,42,34,12,6,16,39,51,-12
2433,2025-08-08,2026-05-17,,9,712,FC Arouca,42,34,12,6,16,47,64,-17
2433,2025-08-08,2026-05-17,,10,582,GD Estoril Praia,39,34,10,9,15,54,57,-3
2433,2025-08-08,2026-05-17,,11,7822,FC Alverca,39,34,10,9,15,35,52,-17
2433,2025-08-08,2026-05-17,,12,5530,CD Santa Clara,36,34,9,9,16,32,41,-9
2433,2025-08-08,2026-05-17,,13,496,Rio Ave FC,36,34,8,12,14,35,57,-22
2433,2025-08-08,2026-05-17,,14,5529,CD Nacional,34,34,9,7,18,37,45,-8
2433,2025-08-08,2026-05-17,,15,9136,CF Estrela da Amadora,30,34,6,12,16,38,56,-18
2433,2025-08-08,2026-05-17,,16,6618,Casa Pia AC,30,34,6,12,16,31,57,-26
2433,2025-08-08,2026-05-17,,17,1049,CD Tondela,28,34,6,10,18,27,55,-28
2433,2025-08-08,2026-05-17,,18,10340,AVS,21,34,3,12,19,27,67,-40
